id,location,link_dom_ria_com,rooms,area_general_living_kitch,floor,price_usd,post_date,scrape_date1,views1,scrape_date2,views2,scrape_date_cal1,scrape_date_cal2,views_0,views_decision_%,views_decision1_%
28701890,просп. Героїв Харкова,-harkov-industrialnyy-geroev-harkova-moskovskiy-prospekt-28701890.html,3, м²,2th of 9,50 000,2025-01-22,2025-01-24,28.0,2025-01-29,58.0,2.0,7.0,16.2,-84.61,-17.41
32176769,просп. Аерокосмічний 45А,-harkov-tsentr-aerokosmicheskiy-gagarina-prospekt-32176769.html,3,65 м²\ 44 м²\ 7 м²,7th of 9,41 000,2025-01-22,2025-01-24,28.0,2025-01-29,57.0,2.0,7.0,16.2,-84.61,-18.84
32590342,вул. Полтавський Шлях 184А,-harkov-holodnaya-gora-poltavskiy-shlyah-ulitsa-32590342.html,2,69 м²\ 38 м²\ 15 м²,7th of 9,36 200,2025-01-22,2025-01-24,28.0,2025-01-29,55.0,2.0,7.0,16.2,-84.61,-21.68
32203324,пров. Отакара Яроша 16,-harkov-pavlovo-pole-otakara-yarosha-pereulok-32203324.html,3,120 м²\ 40 м²\ 65 м²,4th of 25,150 000,2025-01-22,2025-01-24,28.0,2025-01-29,49.0,2.0,7.0,16.2,-84.61,-30.23
31419453,просп. Перемоги 66Д,-harkov-alekseevka-pobedy-prospekt-31419453.html,2,50 м²\ 32 м²\ 16 м²,7th of 15,55 000,2025-01-22,2025-01-24,28.0,2025-01-29,47.0,2.0,7.0,16.2,-84.61,-33.07
31335297,вул. Домобудівельна 11,-harkov-alekseevka-31335297.html,2,56 м²\ 30 м²\ 16 м²,4th of 9,55 000,2025-01-22,2025-01-24,28.0,2025-01-29,45.0,2.0,7.0,16.2,-84.61,-35.92
32276011,вул. Клочківська 98А,-harkov-tsentr-klochkovskaya-ulitsa-32276011.html,4,120 м²\ 70 м²\ 12 м²,7th of 15,75 000,2025-01-22,2025-01-24,28.0,2025-01-29,40.0,2.0,7.0,16.2,-84.61,-43.04
26779657,просп. Любові Малої,-harkov-novaya-bavariya-postysheva-prospekt-26779657.html,2,70 м²\ 21 м²,2th of 9,55 000,2025-01-08,2025-01-24,98.0,2025-01-29,127.0,16.0,21.0,16.17,-84.64,23.11
31432802,вул. Заливна 7,-harkov-osnovyanskiy-zalivnaya-ulitsa-31432802.html,2,69 м²\ 32 м²\ 13 м²,7th of 16,32 000,2025-01-16,2025-01-24,75.0,2025-01-29,113.0,8.0,13.0,16.1,-84.71,22.75
25608759,вул. Професора Отамановського 4,-harkov-shevchenkovskiy-kolomenskaya-ulitsa-25608759.html,2,52 м²\ 25 м²\ 20 м²,13th of 16,54 900,2025-01-09,2025-01-24,96.0,2025-01-29,112.0,15.0,20.0,16.1,-84.71,9.84
32510986,вул. Сумська 128/99,-harkov-nagornyy-kievskiy-sumskaya-ulitsa-32510986.html,3,70 м²\ 44 м²\ 8 м²,3th of 5,75 000,2025-01-06,2025-01-24,100.0,2025-01-29,119.0,18.0,23.0,16.08,-84.72,14.64
32337347,просп. Героїв Харкова 160,-harkov-nemyshlyanskiy-geroev-harkova-moskovskiy-prospekt-32337347.html,2,57 м²\ 24 м²\ 12 м²,4th of 14,65 000,2024-12-25,2025-01-24,106.0,,,30.0,,16.08,-84.72,
